Country/Region,Date,Cases,Lat,Long
Afghanistan,2020-12-19,50456,33.93911,67.709953
Afghanistan,2020-12-20,50536,33.93911,67.709953
Afghanistan,2020-12-21,50678,33.93911,67.709953
Afghanistan,2020-12-22,50888,33.93911,67.709953
Afghanistan,2020-12-23,51070,33.93911,67.709953
Afghanistan,2020-12-24,51357,33.93911,67.709953
Afghanistan,2020-12-25,51595,33.93911,67.709953
Afghanistan,2020-12-26,51764,33.93911,67.709953
Afghanistan,2020-12-27,51848,33.93911,67.709953
Afghanistan,2020-12-28,52007,33.93911,67.709953
Afghanistan,2020-12-29,52147,33.93911,67.709953
Afghanistan,2020-12-30,52330,33.93911,67.709953
Afghanistan,2020-12-31,52330,33.93911,67.709953
Afghanistan,2021-01-01,52513,33.93911,67.709953
Afghanistan,2021-01-02,52586,33.93911,67.709953
Afghanistan,2021-01-03,52709,33.93911,67.709953
Afghanistan,2021-01-04,52909,33.93911,67.709953
Afghanistan,2021-01-05,53011,33.93911,67.709953
Afghanistan,2021-01-06,53105,33.93911,67.709953
Afghanistan,2021-01-07,53207,33.93911,67.709953
Afghanistan,2021-01-08,53332,33.93911,67.709953
Afghanistan,2021-01-09,53400,33.93911,67.709953
Afghanistan,2021-01-10,53489,33.93911,67.709953
Afghanistan,2021-01-11,53538,33.93911,67.709953
Afghanistan,2021-01-12,53584,33.93911,67.709953
Afghanistan,2021-01-13,53690,33.93911,67.709953
Afghanistan,2021-01-14,53775,33.93911,67.709953
Afghanistan,2021-01-15,53831,33.93911,67.709953
Afghanistan,2021-01-16,53938,33.93911,67.709953
Afghanistan,2021-01-17,53984,33.93911,67.709953
Afghanistan,2021-01-18,54062,33.93911,67.709953
Afghanistan,2021-01-19,54141,33.93911,67.709953
Afghanistan,2021-01-20,54278,33.93911,67.709953
Afghanistan,2021-01-21,54403,33.93911,67.709953
Afghanistan,2021-01-22,54483,33.93911,67.709953
Afghanistan,2021-01-23,54559,33.93911,67.709953
Afghanistan,2021-01-24,54595,33.93911,67.709953
Afghanistan,2021-01-25,54672,33.93911,67.709953
Afghanistan,2021-01-26,54750,33.93911,67.709953
Afghanistan,2021-01-27,54854,33.93911,67.709953
Afghanistan,2021-01-28,54891,33.93911,67.709953
Afghanistan,2021-01-29,54939,33.93911,67.709953
Afghanistan,2021-01-30,55008,33.93911,67.709953
Afghanistan,2021-01-31,55023,33.93911,67.709953
Afghanistan,2021-02-01,55059,33.93911,67.709953
Afghanistan,2021-02-02,55121,33.93911,67.709953
Afghanistan,2021-02-03,55174,33.93911,67.709953
Afghanistan,2021-02-04,55231,33.93911,67.709953
Afghanistan,2021-02-05,55265,33.93911,67.709953
Afghanistan,2021-02-06,55330,33.93911,67.709953
